day,daily_open,daily_close,daily_high,daily_low,daily_volume,daily_vwap,daily_return,log_return
2008-12-31,79.5,79.5,79.6,79.5,2985.0,79.53165829145729,,
2009-01-02,79.63,81.64,82.11,78.9,32912082.0,80.74625347709087,0.026918238993710597,0.026562316281357735
2009-01-03,81.44,81.45,81.45,81.44,460.0,81.44666666666666,-0.002327290543851057,-0.002330002893589912
2009-01-05,80.79,81.63,82.42,80.68,37034486.0,81.65692349640189,0.002209944751381032,0.0022075064152102986
2009-01-06,81.71,80.26,82.73,79.63,39597777.0,81.0957618294128,-0.01678304544897702,-0.01692547662449388
2009-01-07,80.26,78.25,80.35,77.56,32153628.0,78.49151842098192,-0.025043608273112472,-0.025362535418508157
2009-01-08,78.26,79.12,79.57,77.64,29737671.0,78.82798427026671,0.01111821086261977,0.01105685789419404
2009-01-09,79.0,77.74,79.58,76.86,31269313.0,78.10941893459785,-0.01744186046511642,-0.017595761890379716
2009-01-10,77.75,77.78,77.78,77.74,500.0,77.76533333333334,0.0005145356315925387,0.0005144033035241745
2009-01-12,77.1,76.6,77.52,76.01,32405332.0,76.65395216219355,-0.015170995114425434,-0.015287251981055747
2009-01-13,76.56,77.93,78.34,76.0,42601349.0,77.75079790418296,0.017362924281984604,0.01721391110892422
2009-01-14,77.93,74.9,78.2,74.32,45417200.0,75.65889847981602,-0.03888104709354545,-0.039657097332295735
2009-01-15,75.0,76.74,77.94,74.01,50540065.0,75.145231877057,0.024566088117489837,0.024269194295632384
2009-01-16,76.7,78.1,82.0,76.52,43373741.0,77.7055940662124,0.017722178785509524,0.01756697202683397
2009-01-17,78.1,78.19,78.19,78.1,300.0,78.13,0.0011523687580026198,0.0011517052907824231
2009-01-20,76.0,76.3,78.63,76.0,38617648.0,77.17791080476556,-0.024171888988361645,-0.024468823846011286
2009-01-21,76.5,79.05,79.38,75.9,39729984.0,77.73666278711397,0.03604193971166447,0.035407625365069695
2009-01-22,79.08,77.95,79.5,76.59,38718060.0,77.87361463089317,-0.013915243516761433,-0.014012968151695386
2009-01-23,77.95,77.8,78.8,75.78,44824716.0,77.50797914269812,-0.0019243104554201862,-0.0019261643194396529
2009-01-24,77.8,77.8,77.8,77.8,6300.0,77.8,0.0,0.0
2009-01-26,78.29,78.6,80.17,77.87,38422609.0,79.1061474457118,0.010282776349614275,0.010230268250814823
2009-01-27,78.6,79.15,79.43,77.62,36705633.0,78.69689085976894,0.0069974554707381564,0.006973086891860535
2009-01-28,79.15,79.0,79.9,77.1413,42208242.0,78.51993795977099,-0.0018951358180669953,-0.0018969338599996945
2009-01-29,78.95,76.71,79.0,76.54,36619150.0,77.30348883167142,-0.02898734177215201,-0.029415774495816664
2009-01-30,76.71,76.67,78.89,76.0,47219595.0,77.82087804712006,-0.0005214444009906671,-0.0005215804004018054
2009-01-31,76.67,76.73,76.73,76.67,628.0,76.69666666666667,0.0007825746706664471,0.0007822686187707619
2009-02-02,76.13,76.7,77.12,75.55,33056138.0,76.4247191225686,-0.0003909813632216874,-0.0003910578163633659
2009-02-03,76.69,77.98,78.64,76.4,36175544.0,77.69291648210275,0.016688396349413326,0.016550675181240794
